,pclass,survived,sex,age,fare,family_size,avg_fare
0,1,True,female,29,211.34,1,211.34
1,1,True,male,1,151.55,4,37.89
2,1,False,female,2,151.55,4,37.89
3,1,False,male,30,151.55,4,37.89
4,1,False,female,25,151.55,4,37.89
5,1,True,male,48,26.55,1,26.55
6,1,True,female,63,77.96,2,38.98
7,1,False,male,39,0.0,1,0.0
8,1,True,female,53,51.48,3,17.16
9,1,False,male,71,49.5,1,49.5
10,1,False,male,47,227.52,2,113.76
11,1,True,female,18,227.52,2,113.76
12,1,True,female,24,69.3,1,69.3
13,1,True,female,26,78.85,1,78.85
14,1,True,male,80,30.0,1,30.0
15,1,False,male,28,25.92,1,25.92
16,1,False,male,24,247.52,2,123.76
17,1,True,female,50,247.52,2,123.76
18,1,True,female,32,76.29,1,76.29
19,1,False,male,36,75.24,1,75.24
20,1,True,male,37,52.55,3,17.52
21,1,True,female,47,52.55,3,17.52
22,1,True,male,26,30.0,1,30.0
23,1,True,female,42,227.52,1,227.52
24,1,True,female,29,221.78,1,221.78
25,1,False,male,25,26.0,1,26.0
26,1,True,male,25,91.08,2,45.54
27,1,True,female,19,91.08,2,45.54
28,1,True,female,35,135.63,1,135.63
29,1,True,male,28,26.55,1,26.55
30,1,False,male,45,35.5,1,35.5
31,1,True,male,40,31.0,1,31.0
32,1,True,female,30,164.87,1,164.87
33,1,True,female,58,26.55,1,26.55
34,1,False,male,42,26.55,1,26.55
35,1,True,female,45,262.38,1,262.38
36,1,True,female,22,55.0,2,27.5
37,1,True,male,28,26.55,1,26.55
38,1,False,male,41,30.5,1,30.5
39,1,False,male,48,50.5,1,50.5
40,1,False,male,28,39.6,1,39.6
41,1,True,female,44,27.72,1,27.72
42,1,True,female,59,51.48,3,17.16
43,1,True,female,60,76.29,1,76.29
44,1,True,female,41,134.5,1,134.5
45,1,False,male,45,26.55,1,26.55
46,1,False,male,28,31.0,1,31.0
47,1,True,male,42,26.29,1,26.29
48,1,True,female,53,27.45,1,27.45
49,1,True,male,36,512.33,2,256.17
